Algorithm,FinalRegretMean,FinalRegretStd,BitsPerRound,TotalBits
Alg1 (known dist),95.25383699320848,13.420869934408673,1.0,2000.0
Alg2 (unknown dist),102.28596484351571,21.10091820134069,254.0,508000.0
LinUCB,51.80692068927784,7.391353566979363,0.0,0.0
Thompson,49.182506177557116,65.90702623793679,0.0,0.0
Full context (LinUCB),51.664215304236755,7.443257882854061,12128.0,24256000.0
